adres,aanvraag_publ,besluit_publ,besluit,dagen
wittenburgergracht 57 1018mx amsterdam,2026-03-20,2026-03-23,verleend,3
jacob van lennepstraat 67-2v 1053he amsterdam,2026-03-20,2026-03-20,verleend,0
tweede weteringdwarsstraat 42-2 1017sx amsterdam,2026-03-20,2026-03-20,verleend,0
tweede weteringdwarsstraat 75-1 1017sv amsterdam,2026-03-25,2026-04-03,verleend,9
spuistraat 205b 1012vn amsterdam,2026-03-25,2026-03-25,verleend,0
jacob van lennepstraat 65-2 1053he amsterdam,2026-03-25,2026-03-25,verleend,0
lijnbaansgracht 247 1017rk amsterdam,2026-03-26,2026-03-26,verleend,0
kerkstraat 303k 1017gz amsterdam,2026-03-27,2026-03-27,verleend,0
oudezijds voorburgwal 330b 1012gm amsterdam,2026-03-27,2026-03-27,verleend,0
houthavenkade 7 1014zb amsterdam,2026-03-27,2026-03-27,verleend,0
keizersgracht 337-2 1016eg amsterdam,2026-03-30,2026-03-30,verleend,0
lauriergracht 47e 1016rg amsterdam,2026-04-01,2026-04-01,verleend,0
pieter oosterhuisstraat 34 1087ht amsterdam,2026-04-01,2026-04-02,verleend,1
jacob van lennepstraat 120c 1053jr amsterdam,2026-04-01,2026-04-01,verleend,0
vogelenzangstraat 24-1 1058st amsterdam,2026-04-02,2026-04-17,verleend,15
achillesstraat 100-3 1076rh amsterdam,2026-04-02,2026-04-02,verleend,0
daniël stalpertstraat 101-4 1072xd amsterdam,2026-04-02,2026-04-21,verleend,19
koninginneweg 183-2 1075cp amsterdam,2026-04-02,2026-04-16,verleend,14
ruysdaelstraat 73c 1071xb amsterdam,2026-04-02,2026-04-14,verleend,12
eerste jan van der heijdenstraat 101-h 1072tm amsterdam,2026-04-02,2026-04-23,verleend,21
avercampstraat 29 1072ra amsterdam,2026-04-03,2026-04-03,verleend,0
waldeck pyrmontlaan 4-2 1075bv amsterdam,2026-04-03,2026-04-07,verleend,4
kastelenstraat 37-3 1083cb amsterdam,2026-04-03,2026-04-03,verleend,0
president kennedylaan 82-2 1079ng amsterdam,2026-04-03,2026-04-03,verleend,0
dusartstraat 62-3 1072hv amsterdam,2026-04-03,2026-04-23,verleend,20
gulden winckelplantsoen 12-h 1055el amsterdam,2026-04-07,2026-04-07,verleend,0
catharina van rennesstraat 7-1 1077kw amsterdam,2026-04-07,2026-05-04,geweigerd,27
harry koningsbergerstraat 306 1063am amsterdam,2026-04-07,2026-04-08,verleend,1
keizersgracht 643c 1017dt amsterdam,2026-04-07,2026-04-07,verleend,0
amstelveenseweg 617c 1081jd amsterdam,2026-04-08,2026-05-18,geweigerd,40
oranje nassaulaan 54-h 1075ar amsterdam,2026-04-08,2026-04-21,verleend,13
boterdiepstraat 70-1 1079ta amsterdam,2026-04-08,2026-04-24,verleend,16
zwanenburgwal 300 1011jh amsterdam,2026-04-10,2026-04-10,verleend,0
anjeliersstraat 41 1015nd amsterdam,2026-04-10,2026-04-10,verleend,0
brouwersgracht 123-3 1015ge amsterdam,2026-04-10,2026-04-10,verleend,0
bloemgracht 71e 1016kg amsterdam,2026-04-10,2026-04-10,verleend,0
brouwersgracht 190k 1013hc amsterdam,2026-04-13,2026-04-16,verleend,3
knsm-laan 459 1019lg amsterdam,2026-04-15,2026-05-05,verleend,20
rosy wertheimstraat 37 1082mz amsterdam,2026-04-16,2026-04-30,verleend,14
klaroenstraat 38 1104hw amsterdam,2026-04-16,2026-05-01,verleend,15
knollendamstraat 6c 1013tn amsterdam,2026-04-17,2026-04-17,verleend,0
tuinstraat 179-1 1015pc amsterdam,2026-04-20,2026-04-20,verleend,0
keizersgracht 812c 1017ed amsterdam,2026-04-22,2026-04-22,verleend,0
veembroederhof 192 1019hc amsterdam,2026-04-22,2026-05-01,verleend,9
nieuwe achtergracht 26 1018xz amsterdam,2026-04-23,2026-04-23,verleend,0
